AllDates,PRC,Pseudo-PRC
2004-01-02,97.13,97.13
2004-01-05,97.18,97.18
2004-01-06,96.6,96.6
2004-01-07,98.63,98.63
2004-01-08,98.75,98.75
2004-01-09,97.5,97.5
2004-01-12,97.78,97.78
2004-01-13,97.67,97.67
2004-01-14,99.38,99.38
2004-01-15,101.14,101.14
2004-01-16,100.48,100.48
2004-01-20,100.4,100.4
2004-01-21,101.5,101.5
2004-01-22,100.68,100.68
2004-01-23,99.5,99.75
2004-01-26,102.28,102.54
2004-01-27,101.05,101.3
2004-01-28,98.3,98.55
2004-01-29,99.4,99.65
2004-01-30,99.55,99.8
2004-02-02,99.81,100.06
2004-02-03,101.15,101.4
2004-02-04,99.75,100
2004-02-05,98.84,99.09
2004-02-06,101.34,101.59
2004-02-09,101.87,102.13
2004-02-10,102.18,102.44
2004-02-11,107.09,107.36
2004-02-12,107.4,107.67
2004-02-13,105.85,106.12
2004-02-17,106.92,107.19
2004-02-18,106.9,107.17
2004-02-19,105.77,106.04
2004-02-20,106.52,106.79
2004-02-23,106.67,106.94
2004-02-24,104.32,104.58
2004-02-25,105.82,106.09
2004-02-26,106.29,106.56
2004-02-27,105.87,106.14
2004-03-01,107.35,107.62
2004-03-02,106.4,106.67
2004-03-03,106.51,106.78
2004-03-04,108.52,108.79
2004-03-05,109.05,109.32
2004-03-08,107.35,107.62
2004-03-09,105.76,106.03
2004-03-10,103.55,103.81
2004-03-11,102.99,103.25
2004-03-12,104.93,105.19
2004-03-15,102.82,103.08
2004-03-16,103.06,103.32
2004-03-17,104.01,104.27
2004-03-18,103.7,103.96
2004-03-19,102.66,102.92
2004-03-22,101.3,101.55
2004-03-23,101.39,101.64
2004-03-24,99.24,99.49
2004-03-25,101.85,102.11
2004-03-26,103.75,104.01
2004-03-29,104.22,104.48
2004-03-30,104.26,104.52
2004-03-31,104.35,104.61
2004-04-01,106,106.27
2004-04-02,105.95,106.22
2004-04-05,105.7,105.97
2004-04-06,105.58,105.85
2004-04-07,105.25,105.51
2004-04-08,105.7,105.97
2004-04-12,105.82,106.09
2004-04-13,103.12,103.38
2004-04-14,101.41,101.66
2004-04-15,101.73,101.99
2004-04-16,103.36,103.62
2004-04-19,102.48,102.74
2004-04-20,99.91,100.16
2004-04-21,100,100.25
2004-04-22,101.8,102.06
2004-04-23,100.41,100.91
2004-04-26,101.15,101.66
2004-04-27,100.91,101.42
2004-04-28,98.4,98.89
2004-04-29,98.26,98.75
2004-04-30,96.75,97.23
2004-05-03,96.92,97.41
2004-05-04,97.37,97.86
2004-05-05,96.15,96.63
2004-05-06,95.15,95.63
2004-05-07,93.04,93.51
2004-05-10,92.1,92.56
2004-05-11,93.11,93.58
2004-05-12,92.92,93.39
2004-05-13,93.45,93.92
2004-05-14,94.01,94.48
2004-05-17,92.68,93.14
2004-05-18,93.31,93.78
2004-05-19,92.68,93.14
2004-05-20,92.4,92.86
2004-05-21,91.74,92.2
2004-05-24,91.73,92.19
2004-05-25,93.11,93.58
2004-05-26,93.39,93.86
2004-05-27,93.29,93.76
2004-05-28,93.91,94.38
2004-06-01,93,93.47
2004-06-02,91.77,92.23
2004-06-03,90.55,91
2004-06-04,91.52,91.98
2004-06-07,93.58,94.05
2004-06-08,94,94.47
2004-06-09,93,93.47
2004-06-10,93.01,93.48
2004-06-14,91.53,91.99
2004-06-15,90.21,90.66
2004-06-16,89.98,90.43
2004-06-17,89.34,89.79
2004-06-18,89.18,89.63
2004-06-21,88.79,89.23
2004-06-22,90.6,91.05
2004-06-23,91.72,92.18
2004-06-24,93.19,93.66
2004-06-25,94.55,95.02
2004-06-28,93.26,93.73
2004-06-29,94,94.47
2004-06-30,94.16,94.63
2004-07-01,93.65,94.12
2004-07-02,93.61,94.08
2004-07-06,92.2,92.66
2004-07-07,90.57,91.02
2004-07-08,90,90.45
2004-07-09,90.05,90.5
2004-07-12,90.66,91.11
2004-07-13,90.36,90.81
2004-07-14,89.89,90.34
2004-07-15,88.33,88.77
2004-07-16,87.25,87.69
2004-07-19,87.5,87.94
2004-07-20,89.7,90.15
2004-07-21,87.42,87.86
2004-07-22,87.76,88.2
2004-07-23,87.55,88.24
2004-07-26,87.03,87.72
2004-07-27,88.79,89.49
2004-07-28,88.71,89.41
2004-07-29,89.69,90.4
2004-07-30,88.19,88.88
2004-08-02,88.44,89.14
2004-08-03,87.68,88.37
2004-08-04,87.65,88.34
2004-08-05,85.8,86.48
2004-08-06,84.55,85.22
2004-08-09,84.55,85.22
2004-08-10,85.31,85.98
2004-08-11,84.65,85.32
2004-08-12,83.86,84.52
2004-08-13,84.25,84.91
2004-08-16,85.82,86.5
2004-08-17,86.39,87.07
2004-08-18,87.44,88.13
2004-08-19,86.6,87.28
2004-08-20,87.81,88.5
2004-08-23,87.5,88.19
2004-08-24,87.53,88.22
2004-08-25,90.03,90.74
2004-08-26,91.12,91.84
2004-08-27,90.48,91.19
2004-08-30,89.15,89.85
2004-08-31,89.65,90.36
2004-09-01,89.19,89.89
2004-09-02,91.06,91.78
2004-09-03,90.2,90.91
2004-09-07,92.23,92.96
2004-09-08,91.44,92.16
2004-09-09,91.87,92.59
2004-09-10,93.13,93.86
2004-09-13,93.6,94.34
2004-09-14,94.1,94.84
2004-09-15,92.41,93.14
2004-09-16,93.16,93.89
2004-09-17,92.05,92.78
2004-09-20,91.68,92.4
2004-09-21,94.9,95.65
2004-09-22,93.39,94.13
2004-09-23,93.07,93.8
2004-09-24,93.48,94.22
2004-09-27,92.75,93.48
2004-09-28,93.06,93.79
2004-09-29,93.28,94.01
2004-09-30,93.24,93.97
2004-10-01,93.92,94.66
2004-10-04,94.87,95.62
2004-10-05,94.07,94.81
2004-10-06,95.53,96.28
2004-10-07,94.85,95.6
2004-10-08,94.24,94.98
2004-10-11,94.14,94.88
2004-10-12,94.59,95.34
2004-10-13,94.72,95.47
2004-10-14,92.93,93.66
2004-10-15,94.16,94.9
2004-10-18,94.25,94.99
2004-10-19,93.06,93.79
2004-10-20,92.34,93.07
2004-10-21,93.47,94.46
2004-10-22,92.7,93.68
2004-10-25,92.42,93.4
2004-10-26,93.76,94.75
2004-10-27,96.1,97.12
2004-10-28,97.43,98.46
2004-10-29,98.38,99.42
2004-11-01,98.32,99.36
2004-11-02,98.55,99.59
2004-11-03,99.37,100.42
2004-11-04,100,101.06
2004-11-05,100.85,101.92
2004-11-08,100.21,101.27
2004-11-09,100.87,101.94
2004-11-10,100.75,101.82
2004-11-11,103,104.09
2004-11-12,104.66,105.77
2004-11-15,104.62,105.73
2004-11-16,103.72,104.82
2004-11-17,104.71,105.82
2004-11-18,104.83,105.94
2004-11-19,103.04,104.13
2004-11-22,103.42,104.51
2004-11-23,103.81,104.91
2004-11-24,105,106.11
2004-11-26,104.84,105.95
2004-11-29,105.08,106.19
2004-11-30,104.76,105.87
2004-12-01,106,107.12
2004-12-02,106.6,107.73
2004-12-03,106.47,107.6
2004-12-06,107.17,108.3
2004-12-07,106.09,107.21
2004-12-08,106.68,107.81
2004-12-09,107.49,108.63
2004-12-10,109.4,110.56
2004-12-13,110.45,111.62
2004-12-14,109.88,111.04
2004-12-15,109.25,110.41
2004-12-16,105.4,106.51
2004-12-17,103.75,104.85
2004-12-20,103.79,104.89
2004-12-21,105.01,106.12
2004-12-22,104.4,105.5
2004-12-23,104.35,105.45
2004-12-27,104.2,105.3
2004-12-28,105.15,106.26
2004-12-29,104.65,105.76
2004-12-30,104.92,106.03
2004-12-31,104.04,105.14
2005-01-03,104.95,106.06
2005-01-04,104.27,105.37
2005-01-05,103.8,104.9
2005-01-06,105.23,106.34
2005-01-07,104.78,105.89
2005-01-10,104.98,106.09
2005-01-11,104.17,105.27
2005-01-12,103.27,104.36
2005-01-13,102.94,104.03
2005-01-14,104.22,105.32
2005-01-18,105,106.11
2005-01-19,104.06,105.16
2005-01-20,103.4,104.49
2005-01-21,103.33,104.68
2005-01-24,103.24,104.58
2005-01-25,102.86,104.2
2005-01-26,103.26,104.6
2005-01-27,104,105.35
2005-01-28,106.12,107.5
2005-01-31,107.85,109.25
2005-02-01,108.4,109.81
2005-02-02,108.59,110
2005-02-03,108.74,110.16
2005-02-04,110.02,111.45
2005-02-07,109.59,111.02
2005-02-08,111.55,113
2005-02-09,111.45,112.9
2005-02-10,112.77,114.24
2005-02-11,112.77,114.24
2005-02-14,111.97,113.43
2005-02-15,112.71,114.18
2005-02-16,112.27,113.73
2005-02-17,110.6,112.04
